!SIL 1.0	SIL
<SPOKEN_NOISE> 1.0	SPN
<UNK> 1.0	SPN
一个	1.0	yi iL iH g elH elL
一个	1.0	yi iL iH g elM elM
一事	1.0	yi iL iH sh ibH ibL
一介	1.0	yi iL iH ji ehH ehL
一名	1.0	yi iH iL mi elL ngH
一周	1.0	yi iH iL zh oH uH
一夜	1.0	yi iL iH yi ehH ehL
一带	1.0	yi iL iH d aH ehL
一张	1.0	yi iH iL zh aaH ngH
一株	1.0	yi iH iL zhu uH uH
一样	1.0	yi iL iH yi aaH ngL
一股	1.0	yi iH iL gu uL uL
一般	1.0	yi iH iL b aH nnH
万宝龙	1.0	wu aH nnL b aaL oL lu uL ngH
三	1.0	s aH nnH
上	1.0	sh aaH ngL
上	1.0	sh aaL ngL
上	1.0	sh aaM ngM
上任	1.0	sh aaH ngL r elH nnL
上佳	1.0	sh aaH ngL ji aH aH
上达	1.0	sh aaH ngL d aL aH
下	1.0	xi aH aL
下官	1.0	xi aH aL gu aH nnH
下联	1.0	xi aH aL li aL nnH
不久	1.0	bu uH uL ji oL uL
不仅	1.0	bu uH uL ji iL nnL
不变	1.0	bu uL uH bi aH nnL
不幸	1.0	bu uL uH xi elH ngL
不得	1.0	bu uH uL d elL elH
不悔	1.0	bu uH uL hu ehL iL
不是	1.0	bu uL uH sh ibH ibL
不过	1.0	bu uL uH gu oH oL
与	1.0	yv vL vL
与	1.0	yv vH vL
与	1.0	yv vL vH
丐帮	1.0	g aH ehL b aaH ngH
专家	1.0	zhu aH nnH ji aH aH
丛台区	1.0	cu uL ngH t aL ehH qv vH vH
两侧	1.0	li aaL ngL c elH elL
两名	1.0	li aaL ngL mi elL ngH
两轮	1.0	li aaL ngL lu elL nnH
两颗	1.0	li aaL ngL k elH elH
个	1.0	g elH elL
个	1.0	g elL elL
中	1.0	zhu uH ngH
中	1.0	zhu uH ngL
中南海	1.0	zhu uH ngH n aL nnH h aL ehL
中卫	1.0	zhu uH ngH wu ehH iL
中国	1.0	zhu uH ngH gu oL oH
中有	1.0	zhu uH ngH yi oL uL
中特	1.0	zhu uH ngH t elH elL
中盘	1.0	zhu uH ngH p aL nnH
丰	1.0	f elH ngH
丰饶	1.0	f elH ngH r aaL oH
丹	1.0	d aH nnH
为	1.0	wu ehL iH
为	1.0	wu ehH iL
为核心	1.0	wu ehL iH h elL elH xi iH nnH
为父	1.0	wu ehH iL fu uH uL
主	1.0	zhu uL uL
主要领导	1.0	zhu uL uL yi aaH oL li elL ngL d aaL oL
之人	1.0	zh ibH ibH r elL nnH
乖谬	1.0	gu aH ehH mi oH uL
也是	1.0	yi ehL ehL sh ibH ibL
乡	1.0	xi aaH ngH
乳儿	1.0	ru uL uL ge erL erH
了	1.0	l elM elM
了	1.0	li aaL oL
二	1.0	ge erH erL
二传	1.0	ge erH erL chu aL nnH
于	1.0	yv vL vH
云和	1.0	yv elL nnH h elL elH
互敬	1.0	hu uH uL ji elH ngL
亥	1.0	h aH ehL
产儿	1.0	ch aL nnL ge erL erH
亭	1.0	ti elL ngH
人	1.0	r elL nnH
人像	1.0	r elL nnH xi aaH ngL
人去	1.0	r elL nnH qv vH vL
人对	1.0	r elL nnH du ehH iL
人氏	1.0	r elL nnH sh ibH ibL
仁爱	1.0	r elL nnH ga aH ehL
今天	1.0	ji iH nnH ti aH nnH
从	1.0	cu uL ngH
他到	1.0	t aH aH d aaH oL
他的	1.0	t aH aH d elM elM
代	1.0	d aH ehL
以	1.0	yi iL iL
仿佛	1.0	f aaL ngL fu uL uH
众多	1.0	zhu uH ngL du oH oH
会议	1.0	hu ehH iL yi iH iL
传闻	1.0	chu aL nnH wu elL nnH
伦斯	1.0	lu elL nnH s ifH ifH
伪军	1.0	wu ehL iL jv elH nnH
伯格	1.0	bu uL oH g elL elH
